Category,Location,Full Caption
Regional,Rwanda,"Rwanda (Regional) | Fun and Adventure
From 72,800/= · Regional · Tour · 01 - 07 April 2026
Walk among the trees and uncover vibrant culture in the heart of Africa."
Regional,South Africa,"Cape Town | Unforgettable Easter Getaway
From $1955 · Regional · Flights & Hotels · 5 Days, April 2026
Where majesty meets the shore in a vibrant dance of nature."
Regional,Tanzania,"Kilimanjaro Marathon and Moshi Excursion | Run for the Roof of Africa
From 23,999/= · Regional · Marathon & Nature Tour · May 20 - 22
Challenge yourself where the savannah meets the snow-capped peak."
Kenya,Amboseli,"Amboseli | The Land of Giants
From KES 29,500/= · Kenya · Safari · 3 Days / 2 Nights (Apr 2026)
Witness mighty herds beneath Kilimanjaro's snowy peak."
Kenya,Diani,"DIANI | Easter Beach Retreat
From KES 34,500 · Kenya · SGR Holiday · 4 Days / 3 Nights
Walk on soft white sands while the Indian Ocean whispers."
Kenya,Malindi and Watamu,"Malindi / Watamu | Easter Getaway
From KES 29,700/= · Kenya · Coast Beach · 4 Days / Easter 2026
Sun-kissed beaches and vibrant coral reefs await."
Kenya,Masai Mara,"Masai Mara | A Journey of Wild Discovery
From 35,000/= · Kenya · Chui Resort Getaway · Easter
Unlock memories to last a lifetime this Easter!"
Kenya,Mombasa,"Mombasa | Easter Coastal Getaway
From KES 43,000 · Kenya · SGR Holiday · 4 Days / Easter 2026
Sun-soaked shores and Swahili charm await you by the turquoise sea."
Kenya,Mt Kenya,"Mt Kenya | Mountain Majesty Awaits
From 41,000/= · Kenya · Self-Drive · 2 Nights (until Apr 2026)
Unwind where the peaks touch the sky."
Kenya,Nairobi,"NAIROBI | Wildlife Meets City
From $835 · Kenya · Group Tours · 5 Days, 4 Nights
Embark on a unique journey where giraffes roam freely amidst urban life."
Kenya,Nguruman,"Based on the information provided in the poster for Nguruman:

*   **Location:** Nguruman
*   **Pricing:** No specific pricing (e.g., ""$100"") is stated.
*   **Travel Type:** The images show a large truck/overland vehicle, groups walking/hiking, and a river scene. This suggests an overland safari and walking safari experience.
*   **Duration/Season:** Not specified.
*   **Catchy Title:** Wonderful Vacation (from the polaroid text)

Here is the website caption:

Nguruman | A Wonderful Vacation
From [Call Us] · Kenya · Overland & Walking Safari · All Year
Walk through untouched wilderness where the river sings to your soul."
Kenya,Samburu,"Based on the information provided in the image, here is the website caption:

SAMBURU | Untamed Africa Awaits
From KES 32,845/= · Kenya · Safari · April 3-6, 2026
Witness ancient cultures and diverse wildlife under the vast Kenyan sky."
Kenya,Tsavo,"Tsavo | Easter Elephant Experience
From KES 41,700 /= · Kenya · Full Board Safari · 3 Days / 2 Nights (April 2026)
Unlock the wilderness where giant tuskers roam red-earth landscapes."
Global,Greece,"Based on the information provided in the image, here is the website caption:

Greece | Sun-Drenched Odyssey
From USD 2,205 · Global · Vacation Package · 5 Days / 4 Nights (Min)
Walk through ancient history and into the deep blue Aegean sea."
Global,Japan,"Japan | Eternal Tradition Meets Modern Marvels
From Price N/A · Global · Leisure · 5 Days / 4 Nights
Discover a land where ancient shrines and bullet trains coexist in harmony."
Global,Malaysia,"Malaysia | Easter City Escape
From 1955 · Global · City Tour & Theme Park · 5 Days / 4 Nights
Explore vibrant cities and iconic towers on a perfect holiday getaway."
